reviewer,docID,citation,year,link,mine_type,metals,country,region,location,mine,latitude,longitude,impactID,mitigationID,affected_system,affected_component,affected_factor,impact description,comment,stage_prospecting,stage_exploration,stage_construction,stage_operation,stage_expansion,stage_decommissioning_closure,stage_postclosure,stage_remediation,stage_abandonment,stage_comment,focus,contaminant,est_significance,impact_direction,impact_info_source,mitigation,mitigation_description,mitigation_info_source
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C2,E6M7,5-Societies,5B-Economic,5B-Jobs,20% of local workers from the first 5 years of operation,"From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.",,,NS,Y,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 172",Yes,"Discuss with the School of Minerals and Petroleum and ARTEK the possibility of adapting the curricula of the basic training courses and the development advanced courses in order to match the needs of ISUA project and other highly mechanised mining operations, and thereby improve employment prospects of new graduates.",Page 172
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C2,E6M8,5-Societies,5B-Economic,5B-Jobs,20% of local workers from the first 5 years of operation,"From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.",,,NS,Y,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 172",Yes,"Explore the alternative benefits that could be included in the salary package and working conditions that can make ISUA project an attractive workplace for local qualified workers or even motivate local people to undertake an education related to the mining sector. i.e. insurance, housing or support to housing, etc. ",Page 172
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C2,E6M9,5-Societies,5B-Economic,5B-Jobs,20% of local workers from the first 5 years of operation,"From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.",,,NS,Y,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 172",Yes,"In order to improve the retention of local workforce, it is recommended to ensure the presence of Greenlandic speaking HR staff, and includes role counseling services to help the workers to develop personal and group strategies to solve interpersonal conflicts and overcome difficulties adapting to the working and life condition. ",Page 172
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C2,E6M10,5-Societies,5B-Economic,5B-Jobs,20% of local workers from the first 5 years of operation,"From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.",,,NS,Y,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 172",Yes,"Set up a program for intercultural understanding, to be provided to all the workforce and contractors. The program could consist of, for example: i) a course to enhance the understanding of Greenlandic culture and communications codes, mandatory to all international staff, contractors and subcontractors to operate in Greenland; ii) introductory course on rules and expectations related to behaviour and communication during working hours; including explanation on why the rules are established as such iii) workforce workshops for elaboration of social rules during free time activities and common relaxation areas, etc. iv) regular events for encouraging intercultural dialogue and understanding. The program should include monitoring of internal communication or behavioural conflicts and good experiences, in order to ensure regular feedback and improvement of the program. ",Page 172
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C2,E6M11,5-Societies,5B-Economic,5B-Jobs,20% of local workers from the first 5 years of operation,"From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.",,,NS,Y,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 172",Yes,Trained local foremen of the so-called trainee programs. ,Page 172
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C2,E6M12,5-Societies,5B-Economic,5B-Jobs,20% of local workers from the first 5 years of operation,"From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.",,,NS,Y,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 172",Yes,Linguistis upgrading English courses to be established by Language School,Page 172
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C3,E6M1,5-Societies,5B-Economic,5B-Local bussiness,Local contractors/suppliers to be offered contract packages,Specific contract packages (construction and services) to be offered to local contractors/suppliers on competitive basis.,,,Y,NS,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 174",Yes,"Maintain a close dialogue and continuous updates with Municipal and National authorities on the plans and progress of the project, defining as accurately as possible the needs of the project and the timing of the activities during construction.",Page 174-75
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C3,E6M2,5-Societies,5B-Economic,5B-Local bussiness,Local contractors/suppliers to be offered contract packages,Specific contract packages (construction and services) to be offered to local contractors/suppliers on competitive basis.,,,Y,NS,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 174",Yes,"Maintain regular contact with the Greenlandic Employers’ Associations, keeping them abreast of upcoming opportunities and discussing solutions and alternatives to potential challenges for the local companies to access business opportunities during the construction and operation phases. Within this forum, analyze and discuss the results of tender process and performance of local companies, providing constructive feedback to improve both access to business and the quality of services.",Page 174-75
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C3,E6M3,5-Societies,5B-Economic,5B-Local bussiness,Local contractors/suppliers to be offered contract packages,Specific contract packages (construction and services) to be offered to local contractors/suppliers on competitive basis.,,,Y,NS,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 174",Yes,"Develop a Corporate Social Responsibility strategy and implementation plan for the project, including commitments and defined actions towards increasing the share of local business (also known as local content). ",Page 174-75
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C3,E6M4,5-Societies,5B-Economic,5B-Local bussiness,Local contractors/suppliers to be offered contract packages,Specific contract packages (construction and services) to be offered to local contractors/suppliers on competitive basis.,,,Y,NS,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 174",Yes,"Monitor indicators related to volume and type of business and local share, and incorporate to the annual report. It is further recommended to follow Global Compact indicators and reporting procedures, or its specific indicators developed for the extractive industry",Page 174-75
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C3,E6M5,5-Societies,5B-Economic,5B-Local bussiness,Local contractors/suppliers to be offered contract packages,Specific contract packages (construction and services) to be offered to local contractors/suppliers on competitive basis.,,,Y,NS,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 174",Yes,Unbundling of contracts for services and supplies to camp where there exists no cost hindrance to the project,Page 174-75
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C3,E6M6,5-Societies,5B-Economic,5B-Local bussiness,Local contractors/suppliers to be offered contract packages,Specific contract packages (construction and services) to be offered to local contractors/suppliers on competitive basis.,,,Y,NS,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 174",Yes,"Preferential purchase of local goods and services to the mine camp operation regarding communication, logistical and support services.",Page 174-75
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C3,E6M7,5-Societies,5B-Economic,5B-Local bussiness,Local contractors/suppliers to be offered contract packages,Specific contract packages (construction and services) to be offered to local contractors/suppliers on competitive basis.,,,Y,NS,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 174",Yes,Inform Tourist Council and Municipal authorities on the expected requirements of hotels and temporary housing for each year. ,Page 174-75
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C3,E6M8,5-Societies,5B-Economic,5B-Local bussiness,Local contractors/suppliers to be offered contract packages,Specific contract packages (construction and services) to be offered to local contractors/suppliers on competitive basis.,,,Y,NS,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 174",Yes,Requirement in contract with the providers of catering services to supply local/traditional food ,Page 174-75
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C3,E6M9,5-Societies,5B-Economic,5B-Local bussiness,Local contractors/suppliers to be offered contract packages,Specific contract packages (construction and services) to be offered to local contractors/suppliers on competitive basis.,,,Y,NS,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 174",Yes,Engaging the professional hunters in Kapisillit and Nuuk in providing some of the regular Greenlandic food for the canteen and camp in general ,Page 174-75
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C4,NA,5-Societies,5B-Economic,5B-Local bussiness,Business opportunities for local companies during the 15 years of operation,"Drilling, logistic support, field supervision, geological survey and other investigations, Construction of camps, site services and pre-stripping. Additional construction projects during the operations • Port operation components, Waste management during construction and operation, Air transport, Helicopter support, Demand for food and goods, particularly local meat and fish, Camp logistics and support services., Housing and accommodation in Nuuk, including taxi, restaurants, etc.",,,Y,NS,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 174",No,NA,NA
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C5,E6M1,5-Societies,5B-Economic,5B-Other,Expected increased cost of living.,,,,NS,Y,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 174",Yes,GA’s (Grønlands Arbejdssgiverforening) initiatives to promote local business for mining companies (network workshops),Page 174
